Using device: cuda
ALGORITHM: QRDQN
EP 83/100 | time  5.16s | reward  24295.5 | evac 303 | died 177 | eps 0.116 | lr 0.00002 | loss  1.700
EP 84/100 | time  4.52s | reward  18099.7 | evac 238 | died 242 | eps 0.113 | lr 0.00002 | loss  1.620
EP 85/100 | time  4.57s | reward  25813.1 | evac 303 | died 177 | eps 0.111 | lr 0.00002 | loss  1.651
EP 86/100 | time  4.62s | reward  15519.8 | evac 249 | died 231 | eps 0.108 | lr 0.00002 | loss  1.649
EP 87/100 | time  5.46s | reward  26470.8 | evac 319 | died 161 | eps 0.105 | lr 0.00002 | loss  1.654
EP 88/100 | time  4.74s | reward  26353.5 | evac 308 | died 172 | eps 0.102 | lr 0.00002 | loss  1.614
EP 89/100 | time  4.83s | reward  26606.9 | evac 298 | died 182 | eps 0.100 | lr 0.00001 | loss  1.648
EP 90/100 | time  4.78s | reward  13940.5 | evac 217 | died 263 | eps 0.097 | lr 0.00001 | loss  1.625
EP 91/100 | time  4.86s | reward  24332.6 | evac 277 | died 203 | eps 0.095 | lr 0.00001 | loss  1.622
EP 92/100 | time  4.91s | reward  20333.6 | evac 256 | died 224 | eps 0.092 | lr 0.00001 | loss  1.680
EP 93/100 | time  5.28s | reward  26688.4 | evac 296 | died 184 | eps 0.090 | lr 0.00001 | loss  1.720
EP 94/100 | time  5.05s | reward  31109.5 | evac 315 | died 165 | eps 0.087 | lr 0.00001 | loss  1.716
EP 95/100 | time  4.80s | reward  24556.7 | evac 276 | died 204 | eps 0.085 | lr 0.00001 | loss  1.661
EP 96/100 | time  5.09s | reward  30212.2 | evac 317 | died 163 | eps 0.083 | lr 0.00001 | loss  1.729
EP 97/100 | time  4.92s | reward  28454.1 | evac 308 | died 172 | eps 0.081 | lr 0.00001 | loss  1.675
EP 98/100 | time  5.17s | reward  28254.5 | evac 307 | died 173 | eps 0.079 | lr 0.00001 | loss  1.750
EP 99/100 | time  5.06s | reward  25137.2 | evac 281 | died 199 | eps 0.077 | lr 0.00001 | loss  1.776
EP 100/100 | time  4.94s | reward  27430.1 | evac 285 | died 195 | eps 0.075 | lr 0.00001 | loss  1.765
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_7_QRDQN.csv
